year_month,product_category_name,total_quantity,total_sales,average_price
2016-09,beleza_saude,3,134.97,44.99
2016-09,moveis_decoracao,2,72.89,36.445
2016-09,telefonia,1,59.5,59.5
2016-10,Unknown,2,65.89,32.945
2016-10,alimentos,1,79.9,79.9
2016-10,audio,2,156.99,78.495
2016-10,automotivo,12,1833.25,152.77083333333334
2016-10,bebes,14,1630.16,116.44000000000001
2016-10,beleza_saude,48,4552.51,94.84395833333333
2016-10,brinquedos,27,4465.09,165.3737037037037
2016-10,cama_mesa_banho,8,478.99,59.87375
2016-10,climatizacao,10,1707.0900000000001,170.709
2016-10,consoles_games,10,3882.26,388.226
2016-10,cool_stuff,8,1111.0,138.875
2016-10,eletronicos,2,1306.99,653.495
2016-10,esporte_lazer,19,3333.64,175.45473684210526
2016-10,fashion_bolsas_e_acessorios,9,508.3,56.47777777777778
2016-10,fashion_calcados,1,29.99,29.99
2016-10,fashion_roupa_feminina,1,54.9,54.9
2016-10,fashion_roupa_masculina,1,24.9,24.9
2016-10,ferramentas_jardim,5,1359.88,271.976
2016-10,fraldas_higiene,1,134.9,134.9
2016-10,industria_comercio_e_negocios,4,359.6,89.9
2016-10,informatica_acessorios,21,1399.32,66.63428571428571
2016-10,livros_interesse_geral,1,119.5,119.5
2016-10,livros_tecnicos,1,267.0,267.0
2016-10,market_place,13,1306.19,100.47615384615385
2016-10,moveis_decoracao,67,5807.89,86.68492537313433
2016-10,moveis_escritorio,6,1300.88,216.81333333333336
2016-10,perfumaria,33,5688.7,172.38484848484848
2016-10,pet_shop,4,689.6800000000001,172.42000000000002
2016-10,relogios_presentes,5,3360.24,672.048
2016-10,telefonia,10,500.08,50.007999999999996
2016-10,telefonia_fixa,5,704.88,140.976
2016-10,utilidades_domesticas,12,1287.0700000000002,107.25583333333334
2016-12,fashion_bolsas_e_acessorios,1,10.9,10.9
2017-01,Unknown,13,1702.6399999999999,130.97230769230768
2017-01,agro_industria_e_comercio,3,65.97,21.99
2017-01,alimentos,2,42.82,21.41
2017-01,automotivo,34,5218.53,153.48617647058822
2017-01,bebes,41,6397.87,156.04560975609755
2017-01,beleza_saude,85,12561.32,147.78023529411763
2017-01,brinquedos,43,4814.09,111.95558139534884
2017-01,cama_mesa_banho,48,3960.1600000000003,82.50333333333334
2017-01,casa_conforto_2,2,72.8,36.4
2017-01,climatizacao,4,663.7,165.925
2017-01,consoles_games,23,5954.2,258.8782608695652
2017-01,construcao_ferramentas_construcao,1,310.0,310.0
2017-01,cool_stuff,40,7784.87,194.62175
2017-01,dvds_blu_ray,2,29.8,14.9
2017-01,eletrodomesticos_2,8,2126.6800000000003,265.83500000000004
2017-01,eletronicos,11,617.0,56.09090909090909
2017-01,eletroportateis,6,1660.79,276.79833333333335
2017-01,esporte_lazer,80,9717.62,121.47025000000001
2017-01,fashion_bolsas_e_acessorios,35,1671.97,47.77057142857143
2017-01,fashion_calcados,1,34.9,34.9
2017-01,fashion_roupa_feminina,2,77.3,38.65
2017-01,fashion_roupa_masculina,1,126.9,126.9
2017-01,fashion_underwear_e_moda_praia,2,137.25,68.625
2017-01,ferramentas_jardim,58,8152.75,140.56465517241378
2017-01,informatica_acessorios,31,3924.1400000000003,126.58516129032259
2017-01,instrumentos_musicais,1,339.74,339.74
2017-01,livros_interesse_geral,2,234.89,117.445
2017-01,malas_acessorios,5,492.5,98.5
2017-01,market_place,6,447.03999999999996,74.50666666666666
2017-01,moveis_cozinha_area_de_servico_jantar_e_jardim,1,110.0,110.0
2017-01,moveis_decoracao,182,13521.31,74.29291208791209
2017-01,moveis_escritorio,10,1444.35,144.435
2017-01,moveis_quarto,8,73.2,9.15
2017-01,moveis_sala,10,1241.9,124.19000000000001
2017-01,musica,2,19.8,9.9
2017-01,papelaria,14,1561.99,111.57071428571429
2017-01,pcs,1,2199.99,2199.99
2017-01,perfumaria,34,5112.599999999999,150.3705882352941
2017-01,pet_shop,15,967.12,64.47466666666666
2017-01,relogios_presentes,11,8086.52,735.1381818181818
2017-01,seguros_e_servicos,1,183.29,183.29
2017-01,telefonia,26,2945.86,113.30230769230769
2017-01,telefonia_fixa,22,677.12,30.778181818181817
2017-01,utilidades_domesticas,28,2827.58,100.985
2017-02,Unknown,58,9034.1,155.7603448275862
2017-02,agro_industria_e_comercio,7,224.84,32.12
2017-02,alimentos,9,715.63,79.51444444444445
2017-02,audio,5,163.8,32.760000000000005
2017-02,automotivo,86,13162.4,153.05116279069767
